,Company,Symbol,GICS Sector,GICS Sub-Industry
61,Maxim Integrated Products,MXIM,Information Technology,Semiconductors
62,MercadoLibre,MELI,Consumer Discretionary,Internet & Direct Marketing Retail
63,Microchip Technology,MCHP,Information Technology,Semiconductors
64,"Micron Technology, Inc.",MU,Information Technology,Semiconductors
65,Microsoft Corporation,MSFT,Information Technology,Systems Software
66,Moderna,MRNA,Health Care,Biotechnology
67,Mondelēz International,MDLZ,Consumer Staples,Packaged Foods & Meats
68,Monster Beverage Corporation,MNST,Consumer Staples,Soft Drinks
69,"NetEase, Inc.",NTES,Communication Services,Interactive Home Entertainment
70,Netflix,NFLX,Communication Services,Movies & Entertainment
71,Nvidia Corporation,NVDA,Information Technology,Semiconductors
72,NXP Semiconductors,NXPI,Information Technology,Semiconductors
73,"O'Reilly Automotive, Inc.",ORLY,Consumer Discretionary,Specialty Stores
74,"Okta, Inc.",OKTA,Information Technology,Application Software
75,Paccar,PCAR,Industrials,Construction Machinery & Heavy Trucks
76,"Paychex, Inc.",PAYX,Information Technology,Data Processing & Outsourced Services
77,PayPal,PYPL,Information Technology,Data Processing & Outsourced Services
78,Peloton Interactive,PTON,Consumer Discretionary,Leisure Products
79,"PepsiCo, Inc.",PEP,Consumer Staples,Soft Drinks
80,Pinduoduo Inc.,PDD,Consumer Discretionary,Internet & Direct Marketing Retail
81,Qualcomm,QCOM,Information Technology,Semiconductors
82,Regeneron Pharmaceuticals,REGN,Health Care,Biotechnology
83,"Ross Stores, Inc.",ROST,Consumer Discretionary,Apparel Retail
84,Seagen Inc.,SGEN,Health Care,Biotechnology
85,Sirius XM Holdings Inc.,SIRI,Communication Services,Broadcasting
86,"Skyworks Solutions, Inc.",SWKS,Information Technology,Semiconductors
87,Splunk,SPLK,Information Technology,Application Software
88,Starbucks Corporation,SBUX,Consumer Discretionary,Restaurants
89,"Synopsys, Inc.",SNPS,Information Technology,Application Software
90,T-Mobile US,TMUS,Communication Services,Wireless Telecommunication Services
91,"Tesla, Inc.",TSLA,Consumer Discretionary,Automobile Manufacturers
92,Texas Instruments,TXN,Information Technology,Semiconductors
93,Trip.com Group,TCOM,Consumer Discretionary,Internet & Direct Marketing Retail
94,Verisign,VRSN,Information Technology,Internet Services & Infrastructure
95,Verisk Analytics,VRSK,Industrials,Research & Consulting Services
96,Vertex Pharmaceuticals,VRTX,Health Care,Biotechnology
97,"Walgreen Boots Alliance, Inc.",WBA,Consumer Staples,Drug Retail
98,"Workday, Inc.",WDAY,Information Technology,Application Software
99,Xcel Energy Inc.,XEL,Utilities,Multi-Utilities
100,"Xilinx, Inc.",XLNX,Information Technology,Semiconductors
101,Zoom Video Communications,ZM,Information Technology,Application Software
